series,season,episode,episode_name,air_date,summary,mini_challenge,main_challenge,mini_challenge_winner,runway_theme
Rupaul's Drag Race,5,8,"""Scent of a Drag Queen""",2013-03-18,"
For the mini-challenge, the queens must match male models wearing the same pairs of underwear. Ivy Winters wins the mini-challenge. For the main challenge, the queens must create, market and film a commercial for a signature fragrance.

Alaska - Red for Filth
Alyssa Edwards - Alyssa's Secret
Coco Montrese - Ru Animale by Coco
Detox - Heroine
Ivy Winters - Dress Code
Jinkx Monsoon - Delusion
Roxxxy Andrews - Thick and Juicy
On the runway, Alaska, Detox and Jinkx Monsoon receive positive critiques, with Alaska winning the challenge. Alyssa Edwards, Ivy Winters and Roxxxy Andrews receive negative critiques, with Roxxxy Andrews being safe. Alyssa Edwards and Ivy Winters lip-sync to ""Ain't Nothin' Goin' on But the Rent"" by Gwen Guthrie. Alyssa Edwards wins the lip-sync and Ivy Winters sashays away.

Guest Judges: Aubrey O'Day and Joan Van Ark
Mini-Challenge: Whatcha Packin' – Match male models wearing the same pairs of Andrew Christian underwear
Mini-Challenge Winner: Ivy Winters
Main Challenge: Create, market, and film a commercial for a signature fragrance
Challenge Winner: Alaska
Main Challenge Prize: A selection of handmade corsets from Corset Connection
Bottom Two: Alyssa Edwards and Ivy Winters
Lip Sync Song: ""Ain't Nothin' Goin' on But the Rent"" by Gwen Guthrie
Eliminated: Ivy Winters
Farewell Message: ""Love you girls so much!! You always have a friend in me! XOXO Ivy""
",: Whatcha Packin' – Match male models wearing the same pairs of Andrew Christian underwear,: A selection of handmade corsets from Corset Connection,: Ivy Winters,
Rupaul's Drag Race,5,9,"""Drama Queens""",2013-04-01,"
For the mini-challenge, the queens must create a fake ""sob story"" and produce real tears for RuPaul. Alyssa Edwards and Detox win the mini-challenge. For the main challenge, the queens will star in a faux Latin telenovela alongside Wilmer Valderrama. Alyssa chooses Coco Montrese and Jinkx Monsoon for her team. Detox chooses Alaska and Roxxxy Andrews for her team.
On the runway, category is Spanish Telenovela Realness. Alaska, Jinkx Monsoon and Roxxxy Andrews receive positive critiques, with Jinkx Monsoon winning the challenge. Alyssa Edwards, Coco Montrese and Detox receive negative critiques, with Alyssa Edwards and Coco Montrese landing in the bottom two. They then lip-sync to ""Cold Hearted"" by Paula Abdul. After a jaw-dropping lip-sync, Coco Montrese is declared the winner and Alyssa Edwards sashays away. 

Guest Judges: María Conchita Alonso and Jamie-Lynn Sigler
Mini-Challenge: Create a fake ""sob story"" and produce real tears for RuPaul
Mini-Challenge Winners: Alyssa Edwards and Detox
Main Challenge: Star in a faux Latin telenovela alongside Wilmer Valderrama
Runway Theme: Spanish Telenovela Realness
Challenge Winner: Jinkx Monsoon
Main Challenge Prize: A pair of fur coats from Fabulous-Furs
Bottom Two: Alyssa Edwards and Coco Montrese
Lip Sync Song: ""Cold Hearted"" by Paula Abdul
Eliminated: Alyssa Edwards
Farewell Message: ""The sky is the limit when your ♡ 's in it. Don't dream it, be it. Always and forever, Alyssa""
",": Create a fake ""sob story"" and produce real tears for RuPaul",: A pair of fur coats from Fabulous-Furs,: Alyssa Edwards and Detox,: Spanish Telenovela Realness
Rupaul's Drag Race,5,10,"""Super Troopers""",2013-04-08,"
For this week's mini-challenge, the queens must last as long as possible in drag booty camp with a fitness trainer. Alaska wins the mini-challenge. For the main challenge, the queens will makeover a gay veteran. 
On the runway, Jinkx Monsoon and Roxxxy Andrews receive positive critiques, with Roxxxy Andrews winning the challenge. Alaska, Coco Montrese and Detox receive negative critiques, with Alaska being safe. Coco Montrese and Detox lip-sync to ""(It Takes) Two to Make It Right"" by Seduction. Detox wins the lip-sync and Coco Montrese sashays away.

Guest Judges: Clinton Kelly and George Kotsiopoulos
Mini-Challenge: Last as long as possible in drag booty camp with a fitness trainer
Mini-Challenge Winner: Alaska
Main Challenge: Military-to-drag makeover/color guard performance
Challenge Winner: Roxxxy Andrews
Main Challenge Prize: A shopping spree at American Apparel
Bottom Two: Coco Montrese and Detox
Lip Sync Song: ""(It Takes) Two to Make It Right"" by Seduction
Eliminated: Coco Montrese
Farewell Message: ""I love you all, Give them hell girls. Love, Coco M""
",: Last as long as possible in drag booty camp with a fitness trainer,: A shopping spree at American Apparel,: Alaska,
Rupaul's Drag Race,5,11,"""The Sugar Ball""",2013-04-15,"
For this week's mini-challenge, the queens will have a bitch fest with puppets. Alaska wins the mini-challenge. For the main challenge, the queens will make three looks for the Sugar Ball, with categories being Super Duper Sweet 16, Sugar Mama and Candy Couture, which must be made entirely out of candy.
On the runway, Alaska and Roxxxy Andrews receive positive critiques, with Alaska winning the challenge. Detox and Jinkx Monsoon are the bottom two and lip-sync to ""Malambo No. 1"" by Yma Sumac. Jinkx Monsoon wins the lip-sync and Detox sashays away.

Guest Judges: Marg Helgenberger and Bob Mackie
Mini-Challenge: Everybody Loves Puppets.
Mini-Challenge Winner: Alaska
Main Challenge: The Sugar Ball
Runway Themes: Super Duper Sweet 16, Sugar Mama – Executive Realness, and Candy Couture
Challenge Winner: Alaska
Main Challenge Prize: A private portrait session with Austin Young
Bottom Two: Detox and Jinkx Monsoon
Lip Sync Song: ""Malambo No. 1"" by Yma Sumac
Eliminated: Detox
Farewell Message: ""Condragulations grillz! Go F****** Kill Them! Rolaskatox 4EVAAAHH! ♡ Detox""
",: Everybody Loves Puppets.,: A private portrait session with Austin Young,: Alaska,": Super Duper Sweet 16, Sugar Mama – Executive Realness, and Candy Couture"
Rupaul's Drag Race,5,12,"""The Final Three, Hunty!""",2013-04-22,"
For the final challenge, the queens will star in RuPaul's music video ""The Beginning"" and shoot a courtroom scene. The queens walk the runway one final time. They all then lip-sync to ""The Beginning"" by RuPaul. They are told that the winner will be announced at the live finale.

Special Guests: Gloria Allred, Candis Cayne and Mathu Anderson
Main Challenge: Star in RuPaul's music video ""The Beginning"" and shoot a courtroom scene
Lip Sync Song: ""The Beginning"" by RuPaul
",,": Star in RuPaul's music video ""The Beginning"" and shoot a courtroom scene",,
Rupaul's Drag Race,5,13,"""Countdown to the Crown""",2013-04-29,"
A look back on the highlights, low-lights, and previously unseen footage from the season as we race toward the climactic crowning of America's Next Drag Superstar. With guest appearances by Latrice Royale, Willam, and Sharon Needles.",,,,
Rupaul's Drag Race,5,14,"""Reunited""",2013-05-06,"
All the queens are brought back for the live finale. Ivy Winters wins Miss Congeniality. RuPaul then announces that Jinkx Monsoon is the winner, leaving Alaska and Roxxxy Andrews as the runners-up.

Finals venue: El Portal Theater, Los Angeles, California
 Miss Congeniality: Ivy Winters
 Runners-up: Alaska and Roxxxy Andrews
Winner of RuPaul's Drag Race Season Five: Jinkx Monsoon
",,,,
Rupaul's Drag Race,6,1,"""RuPaul's Big Opening #1""",2014-02-24,"
7 new queens enter the workroom. They are shocked that only 7 of them are there. RuPaul then announces that this season will be a split premiere, with 7 queens competing this episode, and 7 queens competing the following episode. For the mini-challenge, the queens must do a photoshoot while jumping off a platform. Laganja Estranja wins the mini-challenge. For the main challenge, the queens must design an outfit inspired by a TV show. The TV shows are assigned by Laganja Estranja, for winning the mini-challenge.

Adore Delano - Here Comes Honey Boo Boo
April Carrión - Duck Dynasty
BenDeLaCreme - The Golden Girls
Gia Gunn - Keeping Up with the Kardashians
Kelly Mantle - Downton Abbey
Laganja Estranja - Dancing with the Stars
Vivacious - Game of Thrones
On the runway, April Carrión, BenDeLaCreme and Gia Gunn receive positive critiques, with BenDeLaCreme winning the challenge. Adore Delano, Kelly Mantle and Vivacious receive negative critiques, with Adore Delano being safe. Kelly Mantle and Vivacious lip-sync to ""Express Yourself"" by Madonna. Vivacious wins the lip-sync and Kelly Mantle sashays away.

Guest Judges: Adam Lambert and Mike Ruiz
Mini-Challenge: Jumping off a platform photoshoot
Mini-Challenge Winner: Laganja Estranja
Main Challenge: Designing an outfit inspired by a TV show
Challenge Winner: BenDeLaCreme
Main Challenge Prize: Custom jewel package by Fierce Drag Jewels
Bottom Two: Kelly Mantle and Vivacious
Lip Sync Song: ""Express Yourself"" by Madonna
Eliminated: Kelly Mantle
Farewell message: ""Love u girlz! Rock your Pussies! XOXO Kelly Mantle P.S. Eat my Bacon!""
",: Jumping off a platform photoshoot,: Custom jewel package by Fierce Drag Jewels,: Laganja Estranja,
Rupaul's Drag Race,6,2,"""RuPaul's Big Opening #2""",2014-03-03,"
The remaining seven queens enter the workroom and are told that 7 queens already have competed. For the mini-challenge, the queens must have a Boudoir pillow fight with the pit crew while posing for a photo. Trinity K. Bonet wins the mini-challenge. For the main challenge, the queens must design an outfit inspired by party supplies, assigned by Trinity K. Bonet, the winner of the mini-challenge.

Bianca Del Rio - Luau Party
Courtney Act - Republican Party
Darienne Lake - St. Patrick's Day Party
Joslyn Fox - Quinceañera
Magnolia Crawford - Hoedown
Milk - Toga Party
Trinity K. Bonet - Princess Party
On the runway, Bianca Del Rio, Milk and Trinity K. Bonet receive positive critiques, with Bianca Del Rio winning the challenge. Darienne Lake, Joslyn Fox and Magnolia Crawford receive negative critiques, with Joslyn Fox being safe. Darienne Lake and Magnolia Crawford lip-sync to ""Turn the Beat Around"" by Vicki Sue Robinson. Darienne Lake wins the lip-sync and Magnolia Crawford sashay away. The episode ends with the remaining queens meeting each other.

Guest Judge: Khloe Kardashian
Mini-Challenge: Boudoir pillow fight with the Pit Crew
Mini-Challenge Winner: Trinity K. Bonet
Main Challenge: Designing an outfit inspired by party supplies
Challenge Winner: Bianca Del Rio
Main Challenge Prize: $2,500 Shopping Spree from Fabric Planet
Bottom Two: Darienne Lake and Magnolia Crawford
Lip Sync Song: ""Turn the Beat Around"" by Vicki Sue Robinson
Eliminated: Magnolia Crawford
Farewell message: ""ZOMG! Love you girlie girls! xoxo - Magnolia""
",: Boudoir pillow fight with the Pit Crew,": $2,500 Shopping Spree from Fabric Planet",: Trinity K. Bonet,
Rupaul's Drag Race,6,3,"""Scream Queens""",2014-03-10,"
The episode picks up with all the remaining queens meeting each other. For the mini-challenge, the queens must pair up with a queen from the opposing group they were introduced in and create a beach themed lip-sync. Adore Delano and Milk win the mini-challenge and become team captains for the main challenge. For the main challenge, the queens must star in horror film trailers for ""Drag Race Me to Hell"". Adore picks April Carrión, BenDeLaCreme, Gia Gunn, Laganja Estranja and Vivacious for her team. Milk picks Bianca Del Rio, Courtney Act, Darienne Lake, Joslyn Fox and Trinity K. Bonet for her team.
On the runway, category is Best Drag. Team Milk is declared the winning team, with Darienne Lake winning the overall challenge. Team Adore is the losing team. Adore Delano, April Carrión and Vivacious receive negative critiques, with Adore Delano being safe. April Carrión and Vivacious lip-sync to ""Shake It Up"" by Selena Gomez. April Carrión wins the lip-sync and Vivacious sashays away.

Guest Judges: Lena Headey and Linda Blair
Mini-Challenge: Create a beach themed lip-sync in pairs
Mini-Challenge Winners: Adore Delano and Milk
Main Challenge: Star in horror film trailers for ""Drag Race Me to Hell""
Runway Theme: Best Drag
Challenge Winner: Darienne Lake
Main Challenge Prize: 5-night stay at Island House Key West Resort
Bottom Two: April Carrión and Vivacious
Lip Sync Song: ""Shake It Up"" by Selena Gomez
Eliminated: Vivacious
Farewell message: ""Girls you will be missed. Take the world by storm, educate the masses. Get it, rearrange it, internalize it. Turn it. - Vivacious""
",: Create a beach themed lip-sync in pairs,: 5-night stay at Island House Key West Resort,: Adore Delano and Milk,: Best Drag
Rupaul's Drag Race,6,4,"""Shade: The Rusical""",2014-03-17,"
For the mini-challenge, the queens must guess a mashed up photo of someone and decide if it's a celebrity, or a drag queen. Adore Delano and BenDeLaCreme win the mini-challenge and become team captains for the main challenge. For the main challenge, the queens will perform live in Shade: The Rusical! Adore chooses April Carrión, Joslyn Fox, Laganja Estranja and Milk for her team. BenDeLaCreme chooses Bianca Del Rio, Courtney Act, Darienne Lake, Gia Gunn and Trinity K. Bonet for her team.

Adore Delano plays Bad Penny
April Carrion plays Bertha
BenDeLaCreme plays Shady Lady
Bianca Del Rio and Trinity K. Bonet play Pageant Queens
Courtney Act plays Good Penny
Darienne Lake and Gia Gunn play Comedy Queens
Joselyn Fox plays Amanda
Laganja Estranja plays Showgirl
Milk plays Les Mizabella
On the runway, category is Tony Award Realness. Adore Delano, BenDeLaCreme and Courtney Act receive positive critiques, with Courtney Act winning the challenge. April Carrión, Darienne Lake and Trinity K. Bonet receive negative critiques, with Darienne Lake being safe. April Carrión and Trinity K. Bonet lip-sync to ""I'm Every Woman"" by Chaka Khan. Trinity K. Bonet wins the lip-sync and April Carrión sashays away.

Guest Judges: Lucian Piane and Sheryl Lee Ralph
Mini-Challenge: Female or She-male?[16]
Mini-Challenge Winner: Adore Delano and BenDeLaCreme
Main Challenge: Performing live in the original production of Shade: The Rusical!
Runway Theme: Tony Award Realness
Challenge Winner: Courtney Act
Main Challenge Prize: 2 VIP packages to the Broadway musical Kinky Boots
Bottom Two: April Carrión and Trinity K. Bonet
Lip Sync Song: ""I'm Every Woman"" by Chaka Khan
Eliminated: April Carrión
Farewell message: ""Love you girls, Echa' pa' lante, See you soon ♡ April""
",: Female or She-male?[16],: 2 VIP packages to the Broadway musical Kinky Boots,: Adore Delano and BenDeLaCreme,: Tony Award Realness
Rupaul's Drag Race,6,5,"""Snatch Game""",2014-03-24,"
For the main challenge, the queens will play the Snatch Game. Gillian Jacobs and Heather McDonald star as the celebrity contestants. The cast consisted of:

Adore Delano as Anna Nicole Smith
BenDeLaCreme as Maggie Smith
Bianca Del Rio as Judge Judy
Courtney Act as Fran Drescher
Darienne Lake as Paula Deen
Gia Gunn as Kim Kardashian
Joslyn Fox as Teresa Giudice
Laganja Estranja as Rachel Zoe
Milk as Julia Child
Trinity K. Bonet as Nicki Minaj
On the runway, category is Night of a Thousand RuPaul's. Adore Delano, BenDeLaCreme and Bianca Del Rio receive positive critiques, with BenDeLaCreme winning the challenge. Gia Gunn, Milk and Laganja Estranja receive negative critiques, with Milk being safe. Gia Gunn and Laganja Estranja lip-sync to ""Head to Toe"" by Lisa Lisa & Cult Jam. Laganja Estranja wins the lip-sync and Gia Gunn sashays away.

Guest Judges: Gillian Jacobs and Heather McDonald
Main Challenge: Snatch Game
Runway Theme: Night of a Thousand RuPaul's
Challenge Winner: BenDeLaCreme
Main Challenge Prize: 2 Couture outfits from Syren Latex
Bottom Two: Gia Gunn and Laganja Estranja
Lip Sync Song: ""Head to Toe"" by Lisa Lisa & Cult Jam
Eliminated: Gia Gunn
Farewell message: ""Bring out the big Gunns dudes. xoxo Gia Gunn""
",,: 2 Couture outfits from Syren Latex,,: Night of a Thousand RuPaul's
Rupaul's Drag Race,6,6,"""Oh No, She Betta Don't!""",2014-03-31,"
For the mini-challenge, the queens read each other. Darienne Lake wins the mini-challenge. For the main challenge, the queens will form two teams and rap battle to ""Oh No She Betta Don't!"" As winner of the mini-challenge, Darienne Lake gets to assign the teams. Adore Delano, Bianca Del Rio, Courtney Act, Darienne Lake and Laganja Estranja form ""The Panty Hos"". BenDeLaCreme, Joslyn Fox, Milk and Trinity K. Bonet form the ""Ru-Tang Clan"".
On the runway, category is Crazy, Sexy, Cool. Adore Delano, Bianca Del Rio and Joslyn Fox receive positive critiques, with Adore Delano winning the challenge. Darienne Lake, Milk and Trinity K. Bonet receive negative critiques, with Darienne Lake being safe. Milk and Trinity K. Bonet lip-sync to ""Whatta Man"" by Salt-n-Pepa with En Vogue. Trinity K. Bonet wins the lip-sync and Milk sashays away.

Guest Judges: Eve and Trina
Mini-Challenge: ""Reading is Fundamental""
Mini-Challenge Winner: Darienne Lake
Main Challenge: Rap battle in teams to ""Oh No She Betta Don't""
Challenge Winner: Adore Delano
Runway Theme: Crazy, Sexy, Cool
Main Challenge Prize: Collection of custom-made jewelry
Bottom Two: Milk and Trinity K. Bonet
Lip Sync Song: ""Whatta Man"" by Salt-n-Pepa with En Vogue
Eliminated: Milk
Farewell message: ""It's Milkin' time! ♡ you girls! Big + scary forever (drawing of cow udders)""
",": ""Reading is Fundamental""",: Collection of custom-made jewelry,: Darienne Lake,": Crazy, Sexy, Cool"
Rupaul's Drag Race,6,7,"""Glamazon by Colorevolution""",2014-04-07,"
For the mini-challenge, the queens must design nails and hand model fruits and vegetables. Laganja Estranja wins the mini-challenge. For the main challenge, in pairs, the queens will record an infomercial for RuPaul's Glamazon Cosmetics. For winning the mini-challenge, Laganja Estranja gets to assign the pairs. She chooses Adore Delano for her team. She then pairs up BenDeLaCreme & Darienne Lake, Bianca Del Rio & Trinity K. Bonet, and Courtney Act & Joslyn Fox.
On the runway, category is Black and White Drama. Ru then announces that the queens will be judged in pairs. Adore Delano & Laganja Estranja and Bianca Del Rio & Trinity K. Bonet receive positive critiques, with Adore Delano and Laganja Estranja winning the challenge. BenDeLaCreme & Darienne Lake and Courtney Act & Joslyn Fox receive negative critiques, with BenDeLaCreme and Darienne Lake announced as the bottom two. They lip-sync to ""Point of No Return"" by Exposé. They both are announced winners of the lip-sync and no one goes home.

Guest Judges: Leah Remini and Lainie Kazan
Mini-Challenge: Designing nails and hand modeling fruits and vegetables
Mini-Challenge Winner: Laganja Estranja
Main Challenge: Record an infomercial for Rupaul's Glamazon Cosmetics
Runway Theme: Black and White Drama
Challenge Winners: Adore Delano and Laganja Estranja
Main Challenge Prize: Skincare products from Lather
Bottom Two: BenDeLaCreme and Darienne Lake
Lip Sync Song: ""Point of No Return"" by Exposé
Eliminated: None
",: Designing nails and hand modeling fruits and vegetables,: Skincare products from Lather,: Laganja Estranja,: Black and White Drama
Rupaul's Drag Race,6,8,"""Drag Queens of Comedy""",2014-04-07,"
For this week's mini-challenge, the queens must lip-sync to a RuPaul song upside down. Joslyn Fox wins the mini-challenge. For the main challenge, the queens must perform a stand-up comedy act in front of the judges and a live audience.
On the runway, Bianca Del Rio, Darienne Lake and Trinity K. Bonet receive positive critiques, with Bianca Del Rio winning the challenge. BenDeLaCreme, Joslyn Fox and Laganja Estranja receive negative critiques, with BenDeLaCreme being safe. Joslyn Fox and Laganja Estranja lip-sync to ""Stupid Girls"" by Pink. Joslyn Fox wins the lip-sync and Laganja Estranja sashays away.

Guest Judges: Bruce Vilanch and Jaime Pressly
Mini-Challenge: Lip-sync to a RuPaul song upside down
Mini-Challenge Winner: Joslyn Fox
Main Challenge: Performing a stand-up comedy act in front of a live audience
Challenge Winner: Bianca Del Rio
Main Challenge Prize: A one-of-a-kind gown designed by Marco Marco
Bottom Two: Joslyn Fox and Laganja Estranja
Lip Sync Song: ""Stupid Girls"" by Pink
Eliminated: Laganja Estranja
Farewell message: ""xoxo, Ganja""
",: Lip-sync to a RuPaul song upside down,: A one-of-a-kind gown designed by Marco Marco,: Joslyn Fox,
Rupaul's Drag Race,6,9,"""Drag Queens of Talk""",2014-04-14,"
For the mini-challenge, the queens play ""Hung Men"", a hangman inspired challenge. BenDeLaCreme wins the mini-challenge. For the main challenge, the queens will guest host The RuPaul Show and interview special guests Chaz Bono and Georgia Holt.
On the runway, category is Animal Kingdom Couture. BenDeLaCreme and Courtney Act receive positive critiques, with Courtney Act winning the challenge. Adore Delano, Joslyn Fox and Trinity K. Bonet receive negative critiques, with Joslyn Fox being safe. Adore Delano and Trinity K. Bonet lip-sync to ""Vibeology"" by Paula Abdul. Adore Delano wins the lip-sync and Trinity K. Bonet sashays away.

Guest Judges: Chaz Bono, Georgia Holt, and Paula Abdul
Mini-Challenge: ""Hung Men"", a hangman inspired challenge
Mini-Challenge Winner: BenDeLaCreme
Main Challenge: Guest hosting The RuPaul Show and interviewing celebrity guests
Runway Theme: Animal Kingdom Couture
Challenge Winner: Courtney Act
Main Challenge Prize: Wig wardrobe from Outfiters Wig and a one-year haircare supply from Aquage
Bottom Two: Adore Delano and Trinity K. Bonet
Lip Sync Song: ""Vibeology"" by Paula Abdul
Eliminated: Trinity K. Bonet
Farewell message: ""Be cool, Be nice, Be you. xoxo TKB""
",": ""Hung Men"", a hangman inspired challenge",: Wig wardrobe from Outfiters Wig and a one-year haircare supply from Aquage,: BenDeLaCreme,: Animal Kingdom Couture
Rupaul's Drag Race,6,10,"""Drag My Wedding""",2014-04-21,"
For the mini-challenge, the queens will do abstract paintings using their bodies in honor of same-sex marriage . Bianca Del Rio wins the mini-challenge. For the main challenge, the queens will transform grooms into brides for a drag wedding, with their spouses. 
On the runway, BenDeLaCreme and Bianca Del Rio receive positive critiques, with Bianca Del Rio winning the challenge. Adore Delano, Darienne Lake and Joslyn Fox receive negative critiques, with Darienne Lake being safe. Adore Delano and Joslyn Fox lip-sync to ""Think"" by Aretha Franklin. Adore Delano wins the lip-sync and Joslyn Fox sashays away.

Guest Judges: Neil Patrick Harris and David Burtka
Mini-Challenge: Do abstract paintings using their bodies in honor of same-sex marriage
Mini-Challenge Winner: Bianca Del Rio
Main Challenge: Transform grooms into brides for a wedding
Challenge Winner: Bianca Del Rio
Main Challenge Prize: Trip for two to Hawaii
Bottom Two: Adore Delano and Joslyn Fox
Lip-Sync Song: ""Think"" by Aretha Franklin
Eliminated:  Joslyn Fox
Farewell message: ""Forever Sisters: Keep It Foxy! Love Your Guts! Joslyn ♡""
",: Do abstract paintings using their bodies in honor of same-sex marriage,: Trip for two to Hawaii,: Bianca Del Rio,
Rupaul's Drag Race,6,11,"""The Glitter Ball""",2014-04-28,"
For the mini-challenge, the queens will have a bitchfest with puppets. BenDeLaCreme wins the mini-challenge. For the main challenge, the queens will design three looks for the Glitter Ball: Banjee Girl Bling, Platinum Card Executive Realness and Dripping in Jewels Eleganza, designed by an actual jewel.

Adore Delano - Diamond
BenDeLaCreme - Rose Quartz
Bianca Del Rio - Sapphire
Courtney Act - Ruby
Darienne Lake - Topaz
On the runway, Adore Delano and Bianca Del Rio receive positive critiques, with Adore Delano winning the challenge. BenDeLaCreme, Courtney Act and Darienne Lake receive negative critiques, with Courtney Act being safe. BenDeLaCreme and Darienne Lake lip-sync to ""Stronger (What Doesn't Kill You)"" by Kelly Clarkson. Darienne Lake wins the lip-sync and BenDeLaCreme sashays away.

Guest Judges: Bob Mackie and Khloe Kardashian
Mini-Challenge: Everybody Loves Puppets
Mini-Challenge Winner: BenDeLaCreme
Main Challenge: The Glitter Ball
Runway Themes: Banjee Girl Bling, Platinum Card Executive Realness, and Dripping in Jewels Eleganza
Challenge Winner: Adore Delano
Main Challenge Prize: A costume from Kicka Custom Design
Bottom Two: BenDeLaCreme and Darienne Lake
Lip-Sync Song: ""Stronger (What Doesn't Kill You)"" by Kelly Clarkson
Eliminated: BenDeLaCreme
Farewell message: ""Dear top 4- howz it going? I'm doing pretty good. Sometimes you have to have Mama Ru yell atcha a bunch of times before it sinks in. I guess I never reached that number of times, Darian. I knew the second I was up against you i waz out the door. You get it lady. I wish you all the luck in the world and only harbor enough resentment to write a long pointless message that you will have to clean and clean and clean and clean. But fo real tho you girlz are my heroes. XX BDLC""
",: Everybody Loves Puppets,: A costume from Kicka Custom Design,: BenDeLaCreme,": Banjee Girl Bling, Platinum Card Executive Realness, and Dripping in Jewels Eleganza"
Rupaul's Drag Race,6,12,"""Sissy That Walk!""",2014-05-05,"
For the final challenge of the season, the queens will star in RuPaul's music video for ""Sissy That Walk"" as well as star in two acting scenes. The queens walk the runway one last time. RuPaul then tells the queens that they will all be lip-syncing, and one queen will be eliminated and not move on to the finale. The four remaining queens then lip-sync to ""Sissy That Walk"" by RuPaul. Darienne Lake is then eliminated, with Adore Delano, Bianca Del Rio and Courtney Act being the finalists of the season.

Special Guests: Mathu Andersen and Jamal Sims
Main Challenge: Starring in RuPaul's music video Sissy That Walk as well as in two acting scenes
Lip-Sync Song: ""Sissy That Walk"" by RuPaul
Eliminated: Darienne Lake
",,: Starring in RuPaul's music video Sissy That Walk as well as in two acting scenes,,
Rupaul's Drag Race,6,13,"""Countdown to the Crown""",2014-05-12,"
This week's episode takes a look back on the highlights, low-lights, and previously unseen footage from the season using various countdowns. In addition, past contestants Alaska, Jinkx Monsoon, Jujubee, Latrice Royale, Manila Luzon, Raja, Raven, Shangela Laquifa Wadley, Sharon Needles (impersonating Michelle Visage), and Tammie Brown also appeared, giving their opinions on the season and the contestants.",,,,
Rupaul's Drag Race,6,14,"""Grand Finale""",2014-05-19,"
All the queens return for the reunion. It is announced that Miss Congeniality has been awarded to BenDeLaCreme. It is then announced that Bianca Del Rio is the winner, leaving Adore Delano and Courtney Act as the runners-up.

Miss Congeniality: BenDeLaCreme
Runners-up: Adore Delano and Courtney Act
Winner of RuPaul's Drag Race Season Six: Bianca Del Rio
",,,,
Rupaul's Drag Race,7,1,"""Born Naked""",2015-03-02,"
Fourteen new queens enter the workroom. For the first mini-challenge, the queens must walk the runway showing off two looks; one from their spring collection, and the other from their fall collection. For the main challenge, the queens must create a resort-wear tearaway to reveal a nude illusion.
On the runway, Kennedy Davenport, Miss Fame and Violet Chachki receive positive critiques, with Violet Chachki winning the challenge. Jasmine Masters, Kandy Ho, Sasha Belle and Tempest DuJour receive negative critiques, with Kandy Ho and Tempest DuJour landing in the bottom two. The two lip-sync to ""Geronimo"" by RuPaul. Kandy Ho wins the lip-sync and Tempest DuJour sashays away.

Guest Judge: Kathy Griffin
Alternating Judges: Ross Mathews and Carson Kressley
Mini-Challenge: Walk the runway showing off two looks; one from their spring collection, the other from their fall collection.
Maxi Challenge: Create a resort-wear tearaway to reveal a nude illusion.
Runway Theme: Nude Illusion
Challenge Winner: Violet Chachki
Maxi Challenge Prize: A gag-worthy supply of D-Koye, the product, hair care.
Bottom Two: Kandy Ho and Tempest DuJour
Lip Sync Song: ""Geronimo"" by RuPaul
Eliminated: Tempest DuJour
Farewell message: ""Love yourself. Live your truth. You're never too old to dream. xoxo, Tempest""
",": Walk the runway showing off two looks; one from their spring collection, the other from their fall collection.",": A gag-worthy supply of D-Koye, the product, hair care.",,: Nude Illusion
Rupaul's Drag Race,7,2,"""Glamazonian Airways""",2015-03-09,"
For this week's mini-challenge, the queens must give face while the pit-crew blows them with a leaf blower. Ginger Minj and Trixie Mattel win the mini-challenge and become team captains for the main challenge. For the main challenge, in teams, the queens will perform a mash-up of spoken word and song for a pre-flight safety video for Glamazonian Airways. Ginger chooses Jaidynn Diore Fierce, Jasmine Masters, Kandy Ho, Kennedy Davenport, Mrs. Kasha Davis and Sasha Belle for her team. Trixie chooses Katya, Max, Miss Fame, Pearl and Violet Chachki for her team.
On the runway, category is Jet Set Eleganza. Ginger Minj, Mrs. Kasha Davis and Violet Chachki receive positive critiques, with Ginger Minj winning the challenge. Katya, Miss Fame and Sasha Belle receive negative critiques, with Miss Fame being safe. Katya and Sasha Belle lip-sync to ""Twist of Fate"" by Olivia Newton-John. Katya wins the lip-sync and Sasha Belle sashays away.

Guest Judges: Jordin Sparks and Olivia Newton-John
Alternating Judge: Carson Kressley
Mini-Challenge: Give face while the pit-crew blows them with a leaf blower with special guest Moby.
Mini-Challenge Winners: Ginger Minj and Trixie Mattel
Maxi Challenge: Perform a mash-up of spoken word and song for a pre-flight safety video for Glamazonian Airways.
Runway Theme: Jet Set Eleganza
Challenge Winner: Ginger Minj 
Maxi Challenge Prize: Five-night luxury hotel accommodations courtesy of ""My Gay Getaway"".
Bottom Two: Katya and Sasha Belle
Lip Sync Song: ""Twist of Fate"" by Olivia Newton-John
Eliminated: Sasha Belle 
Farewell message: ""Love you, MEAN it! Ging for the win :)""
",: Give face while the pit-crew blows them with a leaf blower with special guest Moby.,": Five-night luxury hotel accommodations courtesy of ""My Gay Getaway"".",: Ginger Minj and Trixie Mattel,: Jet Set Eleganza
